Order_ID,Date,Product,Category,Quantity,Price,Sales,Region
1001,2026-01-05,Laptop,Electronics,2,600,1200,Hargeisa
1002,2026-01-07,Mouse,Electronics,5,20,100,Borama
1003,2026-01-10,Keyboard,Electronics,3,35,105,Hargeisa
1004,2026-01-12,Office Chair,Furniture,2,150,300,Berbera
1005,2026-01-15,Desk,Furniture,1,250,250,Hargeisa
1006,2026-01-18,Monitor,Electronics,4,180,720,Borama
1007,2026-01-20,Headphones,Electronics,6,45,270,Berbera
1008,2026-01-23,Notebook,Stationery,10,5,50,Hargeisa
1009,2026-01-25,Printer,Electronics,2,220,440,Borama
1010,2026-01-28,Desk Lamp,Furniture,5,30,150,Berbera
1011,2026-02-02,Laptop,Electronics,1,600,600,Borama
1012,2026-02-05,Mouse,Electronics,8,20,160,Hargeisa
1013,2026-02-08,Keyboard,Electronics,4,35,140,Berbera
1014,2026-02-11,Office Chair,Furniture,3,150,450,Borama
1015,2026-02-14,Desk,Furniture,2,250,500,Hargeisa
